feature,importance_mean,importance_std
overall_delay_factor,28.884439144761657,1.4435163866373246
planned_travel_min,16.42391751687545,0.8152838476506692
distance_from_prev_km,0.6098037982473445,0.16198318870327896
incident_traffic_risk,0.259647343744275,0.08074664941164429
planned_speed_kmh,0.19433902285493,0.038668888992775416
incident_severity,0.14408539895592132,0.031114209038703027
hist_slack_min,0.12596586449073977,0.060389365680703945
prev_stop_delay_min,0.09994137549570581,0.05088809985555386
traffic_level,0.08648987993197843,0.04063409161751678
temperature_c,0.06468840179727131,0.09105246619908147
precipitation_mm,0.06392068122359174,0.09157735527915507
cumulative_delay_min,0.06154096918434848,0.04232669681387659
traffic_weather_risk,0.04999389915247332,0.012483986686864366
day_of_week,0.04423451201100281,0.01786489835653248
time_window_duration_min,0.027122652091897348,0.036952994699501404
hist_delay_probability,0.025954582515599234,0.05119935843560449
wind_speed_kmh,0.011261243345655925,0.013937877986144499
vehicle_load_ratio,0.00946262026961786,0.015347143278341663
delay_risk_score_mean,0.006086118647447125,0.011652731182765585
time_window_slack_min,0.005866479260882018,0.02964129645956317
road_incident,0.0039044631480456005,0.0024982417337069316
incident_rate,0.003054945705023848,0.006868911077671725
package_weight_kg,0.002882145389021984,0.009172599872138353
road_type,0.00252461113861846,0.002729601120842398
road_surface_condition_enc,0.0022669695462992356,0.009319897995305628
is_high_risk_weather,0.0,0.0
is_urban_road,0.0,0.0
speed_loss_ratio,0.0,0.0
is_rush_hour,-1.3128996702915785e-05,0.0015369261087190978
vehicle_type_enc,-0.0015541700364809508,0.003467944765331688
stop_sequence,-0.0028456206695104402,0.004884648934544697
stop_progress_ratio,-0.004666454962125921,0.010648875357158234
package_count,-0.005271532541989976,0.021504621312837004
weight_per_package,-0.007955787987827145,0.008416905623001816
hour_of_day,-0.022021410335845037,0.033608410958929004
weather_condition,-0.07881846883899135,0.013920844940361223
travel_delay_ratio,-0.08059707534808536,0.0204263173681017
congestion_ratio_mean,-0.0960434686201106,0.04333285646539451
visibility_km,-0.13562223882185065,0.04918816802026755
