iter	RMSE
0	1.105741205
1	1.093900673
2	1.077821143
3	1.063680234
4	1.049746603
5	1.038767616
6	1.023984151
7	1.010196251
8	0.9984189441
9	0.9832866758
10	0.9673990683
11	0.9530080224
12	0.9415923424
13	0.9291429655
14	0.918846461
15	0.9049029594
16	0.8942925384
17	0.8811573435
18	0.8684225824
19	0.8577881677
20	0.8447397499
21	0.8313906697
22	0.8215719779
23	0.8104423388
24	0.8027062859
25	0.7924032481
26	0.7833861995
27	0.7733814467
28	0.7636348967
29	0.7524034375
30	0.7428516963
31	0.734128478
32	0.7261165677
33	0.7170004129
34	0.7073253589
35	0.7016133099
36	0.6934819886
37	0.6839132182
38	0.6760902911
39	0.6688839352
40	0.6594605194
41	0.6521258801
42	0.6434643101
43	0.6352993279
44	0.6284518388
45	0.6196270287
46	0.6108552299
47	0.60484473
48	0.5967587739
49	0.5894376632
50	0.5839187603
51	0.5757492316
52	0.5696244123
53	0.5620892599
54	0.5567655083
55	0.5509576875
56	0.5459829458
57	0.5399639825
58	0.532484942
59	0.52625191
60	0.5225572567
61	0.5155665934
62	0.5090661451
63	0.5037996812
64	0.4976992073
65	0.4937900951
66	0.4877881725
67	0.4808773149
68	0.4750591977
69	0.4690473911
70	0.463427538
71	0.4575036749
72	0.4528602252
73	0.4489435482
74	0.4436467356
75	0.4388202269
76	0.4344199926
77	0.4285206406
78	0.4241785262
79	0.4196090294
80	0.4149822153
81	0.4107933366
82	0.4059251323
83	0.4013909506
84	0.3970628177
85	0.3926180332
86	0.38752433
87	0.3829772208
88	0.3786505215
89	0.3742022396
90	0.3715264795
91	0.3680567856
92	0.3647999689
93	0.3613505409
94	0.3584732254
95	0.3550240957
96	0.3513930567
97	0.3479492363
98	0.3453145872
99	0.3425346427
100	0.3389848104
101	0.335714847
102	0.3321190213
103	0.3288873235
104	0.3250076914
105	0.3222066267
106	0.3185277526
107	0.3158402531
108	0.3122870668
109	0.3097997721
110	0.3065104497
111	0.3036929924
112	0.300822888
113	0.2978810489
114	0.2951219773
115	0.2924385952
116	0.2903804331
117	0.2876455142
118	0.2850839518
119	0.2824961385
120	0.2795954176
121	0.2775645298
122	0.2748328062
123	0.2717704627
124	0.268982497
125	0.2660342078
126	0.263506186
127	0.2605022466
128	0.2584248508
129	0.2559662495
130	0.2539672557
131	0.252050688
132	0.2501438033
133	0.2481447419
134	0.2457177192
135	0.2433285203
136	0.2412248961
137	0.239872385
138	0.2378452803
139	0.2358257345
140	0.2339680707
141	0.232023833
142	0.2301873444
143	0.2283390813
144	0.2259026718
145	0.2234757811
146	0.2216705742
147	0.2200784633
148	0.2185102757
149	0.2170480054
150	0.215014037
151	0.2129717485
152	0.2115255134
153	0.2103297996
154	0.208726372
155	0.2077188591
156	0.2062455855
157	0.2042926051
158	0.202444746
159	0.2005901948
160	0.1989366328
161	0.1972240846
162	0.1954347969
163	0.1937276346
164	0.1923666197
165	0.1909587366
166	0.1895139623
167	0.1880814654
168	0.1868310802
169	0.1851978458
170	0.1836983028
171	0.1820029125
172	0.1806529545
173	0.1792522338
174	0.1780695891
175	0.176923703
176	0.175165774
177	0.1737137736
178	0.1723956474
179	0.1710099828
180	0.1696585002
181	0.1681713791
182	0.1670548352
183	0.1659485606
184	0.1646841823
185	0.163679444
186	0.1627447371
187	0.1614960771
188	0.1604771826
189	0.1590224891
190	0.1579460479
191	0.1566198228
192	0.1554724313
193	0.1544994746
194	0.1531011254
195	0.1523926388
196	0.1511057742
197	0.1501535722
198	0.1493722095
199	0.1484635566
200	0.1472393088
201	0.1462302615
202	0.1451425824
203	0.1441184543
204	0.1429827009
205	0.1422701384
206	0.1411419967
207	0.1402909435
208	0.139461472
209	0.1382777483
210	0.1373736357
211	0.136536818
212	0.1355052396
213	0.1346267101
214	0.1337501665
215	0.1329948574
216	0.1319660699
217	0.1310350665
218	0.1299306053
219	0.1290741634
220	0.1283427217
221	0.1276170865
222	0.1267046053
223	0.1257885919
224	0.1249001532
225	0.1241008515
226	0.1232548979
227	0.1225562
228	0.1218632589
229	0.121164505
230	0.1206453521
231	0.1198464904
232	0.1190982059
233	0.1184329783
234	0.1176230754
235	0.1168938087
236	0.1162643336
237	0.1156822303
238	0.1150646634
239	0.1146371726
240	0.1138564482
241	0.1132102127
242	0.1126368369
243	0.1117705056
244	0.1110214037
245	0.1104864661
246	0.1099110341
247	0.1093610895
248	0.108858676
249	0.1082962746
250	0.1077921702
251	0.1071229121
252	0.1064466464
253	0.1057470889
254	0.1054135189
255	0.1048222083
256	0.1043054533
257	0.1037966381
258	0.1031146215
259	0.1026592795
260	0.1023867952
261	0.101806341
262	0.1014419682
263	0.1008483174
264	0.1002391636
265	0.09978175698
266	0.09925462618
267	0.09873646136
268	0.09819492814
269	0.09754345308
270	0.09702114986
271	0.09658743819
272	0.09612277264
273	0.09557872134
274	0.09514420572
275	0.09461576411
276	0.09404680042
277	0.09369740958
278	0.09318842214
279	0.09278280159
280	0.09235535164
281	0.09197782981
282	0.091430791
283	0.09106121741
284	0.09063521642
285	0.09014552855
286	0.08970761609
287	0.08929056508
288	0.08888139088
289	0.0884438379
290	0.08806827981
291	0.08752421437
292	0.08712553041
293	0.08673528801
294	0.08637494652
295	0.08607476271
296	0.08566959072
297	0.08533887094
298	0.08501497553
299	0.08458951941
300	0.08427080777
301	0.08380096045
302	0.08342451669
303	0.08301862492
304	0.08271626926
305	0.08244847858
306	0.08215705626
307	0.08181870312
308	0.08138060038
309	0.0808989097
310	0.0805226861
311	0.0801862406
312	0.07980640755
313	0.07940312326
314	0.079096722
315	0.07876419021
316	0.07846316722
317	0.07808824387
318	0.07783498088
319	0.07753794372
320	0.07724480289
321	0.076858595
322	0.07658959375
323	0.07631823089
324	0.0759747906
325	0.07566085548
326	0.07534652463
327	0.07511260464
328	0.07481080624
329	0.07451081197
330	0.07416674768
331	0.07383198316
332	0.07356264696
333	0.07322255667
334	0.07293320491
335	0.07264172594
336	0.0723534061
337	0.07202130432
338	0.07181866266
339	0.07151008222
340	0.07131115831
341	0.07107141131
342	0.07075078556
343	0.07057043441
344	0.07031375597
345	0.07001439948
346	0.0696925775
347	0.0694673963
348	0.06923512193
349	0.06898962562
350	0.0687448495
351	0.06842273266
352	0.06816934784
353	0.06795323777
354	0.06775086582
355	0.06751879483
356	0.06719883302
357	0.06699312215
358	0.06678322408
359	0.06655928761
360	0.06635363913
361	0.0661697152
362	0.06596914827
363	0.06571542093
364	0.06549053066
365	0.06521224489
366	0.06495612953
367	0.06472496194
368	0.06446985255
369	0.06430373959
370	0.06409017363
371	0.06390424848
372	0.06374029082
373	0.06356270632
374	0.06332474854
375	0.06309806777
376	0.06290934534
377	0.06268100857
378	0.06243947829
379	0.06226909658
380	0.06209123059
381	0.06188362084
382	0.0617338888
383	0.06150297413
384	0.06129468317
385	0.06109003679
386	0.06086951712
387	0.06067568109
388	0.06047943543
389	0.06032481964
390	0.06013744299
391	0.0599424774
392	0.05973498482
393	0.05958751744
394	0.05940469295
395	0.05921043659
396	0.05901675712
397	0.05881998937
398	0.05863296964
399	0.05840563524
400	0.05821234957
401	0.05805579696
402	0.0579194221
403	0.05776751583
404	0.05762751526
405	0.05751528341
406	0.05730809091
407	0.05718298882
408	0.05702462303
409	0.05688923125
410	0.05673494474
411	0.05659121379
412	0.05642747031
413	0.05629684303
414	0.05610707464
415	0.05592054916
416	0.05576024078
417	0.05564029649
418	0.05547175411
419	0.05533842789
420	0.05517449714
421	0.05500774573
422	0.05485527748
423	0.05473758075
424	0.05460155902
425	0.05444315663
426	0.05434475674
427	0.05422635642
428	0.05409385228
429	0.05394348525
430	0.05380041981
431	0.05366678402
432	0.05354911199
433	0.05335925746
434	0.05323125103
435	0.05308954255
436	0.05295720997
437	0.05284678165
438	0.05267503814
439	0.05253316358
440	0.05243282946
441	0.05228828923
442	0.05218968686
443	0.05202007016
444	0.05187653787
445	0.05174877187
446	0.05160534045
447	0.05147411803
448	0.05134586305
449	0.05124471652
450	0.05112545152
451	0.05099932944
452	0.05086252384
453	0.05074605937
454	0.05059182831
455	0.05045923355
456	0.05032432939
457	0.05024066253
458	0.05011643405
459	0.04999730555
460	0.04990075868
461	0.04976075392
462	0.04964407572
463	0.04952566333
464	0.04939960162
465	0.04929821791
466	0.04917357168
467	0.04907890634
468	0.04897012675
469	0.04888155975
470	0.04878521065
471	0.04866119733
472	0.04854393786
473	0.04844468317
474	0.04836356194
475	0.04828578427
476	0.04820079531
477	0.04811646802
478	0.04803448415
479	0.04790742443
480	0.04782769586
481	0.0477214285
482	0.0476440594
483	0.04755633818
484	0.04745965461
485	0.04739096525
486	0.04733462857
487	0.04724940676
488	0.04715086268
489	0.04707135364
490	0.04699722412
491	0.04691420972
492	0.04684529055
493	0.04676871725
494	0.04669653701
495	0.04658313516
496	0.04650149805
497	0.04642098656
498	0.04631264343
499	0.04622892734
500	0.04614381648
501	0.04602612333
502	0.0459363916
503	0.04588643126
504	0.04579595666
505	0.04571245268
506	0.04565845352
